stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening E:\Visual Studio Projects\TrabalhoCPC\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching E:\Visual Studio Projects\TrabalhoCPC\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00033] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.26560] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.26575] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.26600] Using DirectSound driver
font     W               font.c:370  al_init_font_addon               [   0.26616] Font addon already initialised.
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26660] Also searching E:\Visual Studio Projects\TrabalhoCPC\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.26686] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.26701] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.27271] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.33884] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.34369] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.34378] al_display=000002665E9818D0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.34383] al_display->vt=000002665E96AF30
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.34676] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.34691] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34707] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34715] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34721] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34728] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34734] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.34740] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34749] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.34754] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34759] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.34764] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34773] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34787] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34802] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34807] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34813] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.34818] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34823] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.34828] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34834] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.34843] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34854] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34864] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34872] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34879] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34887] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.34893] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34902] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.34910] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34916] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.34921] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34927] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34935] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34940] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34949] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34957] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.34965] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34970] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.34976] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34982] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.34990] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34995] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35005] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35011] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35015] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35023] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.35030] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35036] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.35041] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35048] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.35053] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35058] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35068] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35073] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35078] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35083] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.35090] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35099] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.35106] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35116] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.35124] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35133] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35141] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35150] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35158] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35171] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.35180] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35188] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.35196] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35203] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.35213] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35219] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35225] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35249] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.35253] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35263] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.35275] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35285] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.35295] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35304] Score is : 717
