stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening E:\Visual Studio Projects\TrabalhoCPC\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching E:\Visual Studio Projects\TrabalhoCPC\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00031] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.04594] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.04616] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.04634] Using DirectSound driver
font     W               font.c:370  al_init_font_addon               [   0.04642] Font addon already initialised.
system   D            wsystem.c:834  maybe_parent_dir                 [   0.04672] Also searching E:\Visual Studio Projects\TrabalhoCPC\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.04698] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.04701] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.04939] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.09115] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.09360] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.09376] al_display=0000027BB24EB0F0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.09386] al_display->vt=0000027BB251A350
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.09837] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.09843] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09848] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09852] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09854] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09856] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09859] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09861] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09863] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09867] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09869] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09871] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09875] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09877] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09886] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09888] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09891] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09893] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09895] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09901] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09903] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09905] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09908] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09912] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09914] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09917] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09920] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09923] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09927] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09929] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09931] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09933] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09936] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09939] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09942] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09944] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09946] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09948] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09951] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09953] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09955] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09959] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09961] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09964] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09966] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09969] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09971] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09973] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09977] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09979] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09981] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09983] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09985] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09988] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09992] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09994] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09996] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09998] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10000] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10002] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10005] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10007] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10009] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.10011] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10014] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.10016] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10018] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.10020] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10022] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10024] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10027] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10028] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10031] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.10033] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10035] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.10037] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10040] Score is : 717
